Model Name,RMSE Real,RMSE Imag,Real Time (s),User Time (s),Sys Time (s),K,M,M_SD,K_list,K_e,M_e,K_a,M_a,K_b,M_b,P,K_c,M_c,Q,delta_0,alpha
PolynomialMemoryModel,0.206405,0.207271,1.084,1.039,0.045,3.0,2.0,,,,,,,,,,,,,,
PolynomialMemoryModel,0.108151,0.108143,1.971,1.868,0.103,5.0,5.0,,,,,,,,,,,,,,
PolynomialMemoryModel,0.093029,0.092957,8.211,7.856,0.351,10.0,10.0,,,,,,,,,,,,,,
PolynomialMemoryModel,0.092296,0.092222,28.492,27.785,0.705,15.0,15.0,,,,,,,,,,,,,,
PolynomialMemoryModel,0.0926386421,0.0925886505,239.462,236.675,2.72,20.0,20.0,,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.2206018972,0.2212081226,0.894,0.862,0.032,3.0,2.0,1.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.2206018972,0.2212081226,1.191,1.117,0.074,3.0,2.0,3.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.1081530856,0.1081496717,2.458,2.291,0.167,5.0,5.0,5.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.0988149221,0.0989199237,5.865,5.546,0.317,7.0,7.0,7.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.0930458979,0.092970085,9.702,9.279,0.416,10.0,10.0,7.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.0930335586,0.0929606501,17.339,16.728,0.605,10.0,10.0,10.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.1334297727,0.1334702468,5.283,4.973,0.309,5.0,5.0,10.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.1129967445,0.1129790746,8.688,8.295,0.393,13.0,13.0,5.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.0924121479,0.0923365082,28.089,27.257,0.82,13.0,13.0,10.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.092573831,0.0925081835,58.922,57.712,1.194,15.0,15.0,13.0,,,,,,,,,,,,,
SparseDelayMemoryPolynomialModel,0.092669037,0.0926059856,131.74,129.818,1.893,20.0,20.0,15.0,,,,,,,,,,,,,
OrthogonalMemoryPolynomialModel,0.749005,0.749148,0.946,0.913,0.033,1.0,1.0,,,,,,,,,,,,,,
OrthogonalMemoryPolynomialModel,0.206405,0.207271,2.469,2.392,0.075,3.0,2.0,,,,,,,,,,,,,,
OrthogonalMemoryPolynomialModel,0.108151,0.108143,11.549,11.35,0.193,5.0,5.0,,,,,,,,,,,,,,
OrthogonalMemoryPolynomialModel,0.098812,0.098916,34.783,34.408,0.368,7.0,7.0,,,,,,,,,,,,,,
OrthogonalMemoryPolynomialModel,0.093029,0.092957,115.831,115.134,0.68,10.0,10.0,,,,,,,,,,,,,,
NonUniformMemoryPolynomialModel,0.688112,0.687575,0.914,0.885,0.03,,1.0,,"[1, 3, 2, 2, 1, 1, 1]",,,,,,,,,,,,
NonUniformMemoryPolynomialModel,0.131611,0.131862,1.21,1.148,0.062,,5.0,,"[4, 3, 2, 2, 1, 1, 1]",,,,,,,,,,,,
NonUniformMemoryPolynomialModel,0.10852,0.108518,1.628,1.531,0.097,,10.0,,"[5, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1]",,,,,,,,,,,,
NonUniformMemoryPolynomialModel,0.10852,0.108517,1.599,1.507,0.092,,9.0,,"[5, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1]",,,,,,,,,,,,
NonUniformMemoryPolynomialModel,0.094015,0.093976,2.374,2.234,0.14,,10.0,,"[8, 7, 5, 4, 3, 3, 3, 2, 2, 1, 1]",,,,,,,,,,,,
HybridMemoryPolynomialModel,0.197895,0.198991,1.708,1.644,0.064,3.0,2.0,,,3.0,3.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.093287,0.092994,2.413,2.313,0.097,5.0,3.0,,,3.0,3.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.092169,0.091779,3.511,3.372,0.139,5.0,3.0,,,5.0,5.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.092113,0.091731,4.174,4.004,0.17,5.0,5.0,,,5.0,5.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.080967,0.080828,5.107,4.901,0.206,7.0,5.0,,,5.0,5.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.080944,0.080811,6.815,6.559,0.256,7.0,7.0,,,5.0,5.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.073741,0.07341,8.96,8.644,0.315,10.0,7.0,,,5.0,5.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.073732,0.073405,13.145,12.704,0.426,10.0,10.0,,,5.0,5.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.073453,0.073112,16.629,16.133,0.495,10.0,10.0,,,7.0,7.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.07257,0.072203,46.412,45.522,0.883,15.0,15.0,,,7.0,7.0,,,,,,,,,,
HybridMemoryPolynomialModel,0.072467,0.072067,57.146,56.131,1.012,15.0,15.0,,,10.0,10.0,,,,,,,,,,
GeneralizedMemoryPolynomialModel,0.198446,0.199182,1.749,1.689,0.06,,,,,,,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,
GeneralizedMemoryPolynomialModel,0.093149,0.093107,3.36,3.236,0.124,,,,,,,5.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,,
GeneralizedMemoryPolynomialModel,0.082256,0.082318,5.309,5.088,0.213,,,,,,,7.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,,
GeneralizedMemoryPolynomialModel,0.084154,0.084331,7.597,7.349,0.248,,,,,,,7.0,7.0,1.0,2.0,3.0,4.0,3.0,2.0,,
GeneralizedMemoryPolynomialModel,0.077267,0.077236,8.589,8.301,0.288,,,,,,,7.0,7.0,2.0,2.0,3.0,4.0,3.0,2.0,,
GeneralizedMemoryPolynomialModel,0.077221,0.077197,8.409,8.122,0.287,,,,,,,7.0,7.0,2.0,3.0,3.0,4.0,3.0,2.0,,
GeneralizedMemoryPolynomialModel,0.076935,0.076883,9.671,9.357,0.311,,,,,,,7.0,7.0,2.0,3.0,3.0,4.0,3.0,3.0,,
GeneralizedMemoryPolynomialModel,0.076777,0.076724,11.06,10.668,0.381,,,,,,,7.0,7.0,2.0,3.0,3.0,4.0,3.0,4.0,,
GeneralizedMemoryPolynomialModel,0.076634,0.076595,12.617,12.206,0.4,,,,,,,7.0,7.0,2.0,3.0,3.0,4.0,3.0,5.0,,
GeneralizedMemoryPolynomialModel,0.067501,0.067266,40.112,39.287,0.781,,,,,,,13.0,13.0,2.0,3.0,3.0,4.0,4.0,5.0,,
GeneralizedMemoryPolynomialModel,0.06581,0.065375,110.63900000000001,109.166,1.405,,,,,,,13.0,13.0,5.0,4.0,5.0,5.0,6.0,7.0,,
GeneralizedMemoryPolynomialModel,0.065691,0.065256,122.109,120.474,1.565,,,,,,,15.0,15.0,5.0,4.0,5.0,5.0,6.0,7.0,,
GeneralizedMemoryPolynomialModel,0.0655,0.065056,167.89600000000002,166.141,1.736,,,,,,,18.0,18.0,5.0,4.0,5.0,5.0,6.0,7.0,,
ExponentiallyShapedMemoryDelayProfileModel,0.749005,0.749148,1223.616,1223.088,0.285,1.0,1.0,,,,,,,,,,,,,1.0,1.0
EnvelopeMemoryPolynomialModel,0.749825,0.749833,0.967,0.935,0.032,1.0,1.0,,,,,,,,,,,,,,
EnvelopeMemoryPolynomialModel,0.202501,0.203218,1.821,1.738,0.082,3.0,2.0,,,,,,,,,,,,,,
EnvelopeMemoryPolynomialModel,0.101083,0.100996,3.681,3.529,0.15,5.0,3.0,,,,,,,,,,,,,,
EnvelopeMemoryPolynomialModel,0.10042,0.100288,5.555,5.358,0.188,5.0,5.0,,,,,,,,,,,,,,
EnvelopeMemoryPolynomialModel,0.090108,0.090169,8.289,8.007,0.273,7.0,5.0,,,,,,,,,,,,,,
EnvelopeMemoryPolynomialModel,0.083506,0.083382,20.672,20.171,0.495,10.0,7.0,,,,,,,,,,,,,,
EnvelopeMemoryPolynomialModel,0.083426,0.083301,33.874,33.189,0.679,10.0,10.0,,,,,,,,,,,,,,
EnvelopeMemoryPolynomialModel,0.082659,0.082452,134.337,132.706,1.597,15.0,15.0,,,,,,,,,,,,,,
DDRVolterraModel,4.220281,3.390611,0.809,0.774,0.035,1.0,1.0,,,,,,,,,,,,,,
DDRVolterraModel,4.644639,3.743563,0.928,0.89,0.038,2.0,2.0,,,,,,,,,,,,,,
DDRVolterraModel,4.644705,3.743951,1.053,1.007,0.046,3.0,2.0,,,,,,,,,,,,,,
DDRVolterraModel,4.79126,3.863412,1.037,0.981,0.056,2.0,3.0,,,,,,,,,,,,,,
DDRVolterraModel,4.863776,3.922679,3.855,3.681,0.174,5.0,5.0,,,,,,,,,,,,,,
DDRVolterraModel,4.876112,3.936626,87.182,85.925,1.227,10.0,10.0,,,,,,,,,,,,,,
